sequence,kind,name,name_zh_hans,category,tag,selection_reasons,image_url,image_source,fallback_image_url,pokopiadex_slug,pokopiadex_category,pokopiadex_tags,infipoke_slug,infipoke_category,infipoke_tag,source_pages,filename,relative_path,downloaded_url,downloaded_source,content_type,bytes,sha256,status,error
016,decorative_item,Antique table,古董桌,Furniture,,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-table.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquetable.webp,antique-table,Furniture,,antiquetable,Furniture,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,016-antique-table.png,assets/pokopia_image_sources/decorative_item_portraits/016-antique-table.png,https://pokopiadex.com/images/items/item_ui/antique-table.png,pokopiadex_items,image/png,14937,6647e490b72bf331d6ff3959513ecd50c225b4b9c330fb971d5ab45f31ccd3f8,ok,
017,decorative_item,Antique wall (lower),古董墙（下）,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/antique-wall-lower.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquewall%28lower%29.webp,antique-wall-lower,Blocks,,antiquewall(lower),Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,017-antique-wall-lower.png,assets/pokopia_image_sources/decorative_item_portraits/017-antique-wall-lower.png,https://pokopiadex.com/images/items/item_ui/antique-wall-lower.png,pokopiadex_items,image/png,33499,4e4f0830e33e5d6ce829d7a3a4b6d57e1cf25858a00bd92f8d7b0c7f9abc8fca,ok,
018,decorative_item,Antique wall (middle),古董墙（中）,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/antique-wall-middle.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquewall%28middle%29.webp,antique-wall-middle,Blocks,,antiquewall(middle),Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,018-antique-wall-middle.png,assets/pokopia_image_sources/decorative_item_portraits/018-antique-wall-middle.png,https://pokopiadex.com/images/items/item_ui/antique-wall-middle.png,pokopiadex_items,image/png,34653,fbe0a4595965631d4b462763d7ce1e1cf377736886080dc7c7deb5f89ba45298,ok,
019,decorative_item,Antique wall (upper),古董墙（上）,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/antique-wall-upper.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquewall%28upper%29.webp,antique-wall-upper,Blocks,,antiquewall(upper),Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,019-antique-wall-upper.png,assets/pokopia_image_sources/decorative_item_portraits/019-antique-wall-upper.png,https://pokopiadex.com/images/items/item_ui/antique-wall-upper.png,pokopiadex_items,image/png,33884,ac61b629837e5a5e8ced9e1213d85dd495c69d202c5dfe5d92d4ec889ca1d618,ok,
020,decorative_item,Arcade machine,街机,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/arcade-machine.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/arcademachine.webp,arcade-machine,Misc.,Toy,arcademachine,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,020-arcade-machine.png,assets/pokopia_image_sources/decorative_item_portraits/020-arcade-machine.png,https://pokopiadex.com/images/items/item_ui/arcade-machine.png,pokopiadex_items,image/png,106241,40ddb55f2e4f590ed80b49769dd30f47675fd22d63a85f8681b2d0735d7ff751,ok,
021,decorative_item,Arcanine doll,风速狗玩偶,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/arcanine-doll.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/arcaninedoll.webp,arcanine-doll,Misc.,Toy,arcaninedoll,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,021-arcanine-doll.png,assets/pokopia_image_sources/decorative_item_portraits/021-arcanine-doll.png,https://pokopiadex.com/images/items/item_ui/arcanine-doll.png,pokopiadex_items,image/png,151923,1036b81812ea3b40980580175937336e47ece624b11e1e06f8c66333ec6a4dd2,ok,
022,decorative_item,Arched tiling,拱形砖,Blocks,Road,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/arched-tiling.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/archedtiling.webp,arched-tiling,Blocks,Road,archedtiling,Blocks,Road,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,022-arched-tiling.png,assets/pokopia_image_sources/decorative_item_portraits/022-arched-tiling.png,https://pokopiadex.com/images/items/crafting_ui/arched-tiling.png,pokopiadex_items,image/png,146493,205f7fadec2acf4302619f4b0f69d7193764613ec80148c3c13763bc131c0a0b,ok,
023,decorative_item,Argyle print,菱格纹花纹,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/argyle-print.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/argyleprint.webp,argyle-print,Blocks,,argyleprint,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,023-argyle-print.png,assets/pokopia_image_sources/decorative_item_portraits/023-argyle-print.png,https://pokopiadex.com/images/items/item_ui/argyle-print.png,pokopiadex_items,image/png,47052,70d510afe24fef003cda2d68a25156617530ce569e87dad5e453576e0729c788,ok,
024,decorative_item,Armor Fossil,盾甲化石,Other,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/armor-fossil.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/armorfossil.webp,armor-fossil,Other,Decoration,armorfossil,Other,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,024-armor-fossil.png,assets/pokopia_image_sources/decorative_item_portraits/024-armor-fossil.png,https://pokopiadex.com/images/items/item_ui/armor-fossil.png,pokopiadex_items,image/png,140707,8f699160ab684781a10d883646cf0f32a4b00e4db73a31ecc3749a796e891814,ok,
025,decorative_item,Arrow sign,箭头指示牌,Outdoor,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/arrow-sign.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/arrowsign.webp,arrow-sign,Outdoor,Decoration,arrowsign,Outdoor,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,025-arrow-sign.png,assets/pokopia_image_sources/decorative_item_portraits/025-arrow-sign.png,https://pokopiadex.com/images/items/item_ui/arrow-sign.png,pokopiadex_items,image/png,92842,bdbb872e852c5fe99bb35e7b9c57fcb4017533192c6f65c039f925263b7f91af,ok,
026,decorative_item,Asphalt road,柏油路,Blocks,Road,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/asphalt-road.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/asphaltroad.webp,asphalt-road,Blocks,Road,asphaltroad,Blocks,Road,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,026-asphalt-road.png,assets/pokopia_image_sources/decorative_item_portraits/026-asphalt-road.png,https://pokopiadex.com/images/items/crafting_ui/asphalt-road.png,pokopiadex_items,image/png,126578,a0101f8671e5186323e148d2245f50ac77e940b7cc8c774d8140a6d39d713846,ok,
027,decorative_item,Audio mixer,调音台,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/audio-mixer.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/audiomixer.webp,audio-mixer,Misc.,Toy,audiomixer,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,027-audio-mixer.png,assets/pokopia_image_sources/decorative_item_portraits/027-audio-mixer.png,https://pokopiadex.com/images/items/item_ui/audio-mixer.png,pokopiadex_items,image/png,26689,a5c56dbb459bca3c78aaac92fd4bd3f116a0ff951ef10ffc5d459ff6a74c315e,ok,
028,decorative_item,Auspicious Armor,祝庆铠甲,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/auspicious-armor.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/auspiciousarmor.webp,auspicious-armor,Misc.,Decoration,auspiciousarmor,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,028-auspicious-armor.png,assets/pokopia_image_sources/decorative_item_portraits/028-auspicious-armor.png,https://pokopiadex.com/images/items/item_ui/auspicious-armor.png,pokopiadex_items,image/png,38156,4957d5b6398f9c1692c2fb06184e3804c14cc827c27721e778b3026ba844ada3,ok,
029,decorative_item,Avalugg Table,冰岩怪桌,Furniture,,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/avalugg-table.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/avaluggtable.webp,avalugg-table,Furniture,,avaluggtable,Furniture,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,029-avalugg-table.png,assets/pokopia_image_sources/decorative_item_portraits/029-avalugg-table.png,https://pokopiadex.com/images/items/item_ui/avalugg-table.png,pokopiadex_items,image/png,117273,d1729629d398e7120353927724f4cede0f790b67bece67c9f5026532596a7191,ok,
030,decorative_item,Balloons,气球,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/shop_ui/balloons.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/balloons.webp,balloons,Misc.,Toy,balloons,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,030-balloons.png,assets/pokopia_image_sources/decorative_item_portraits/030-balloons.png,https://pokopiadex.com/images/items/shop_ui/balloons.png,pokopiadex_items,image/png,156810,6b743f97a78b1a51d98974bf41fbb3787ea2e0023b89eaedce22f39cb04a70cc,ok,
031,decorative_item,Barrel,木桶,Outdoor,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/barrel.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/barrel.webp,barrel,Outdoor,Decoration,barrel,Outdoor,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,031-barrel.png,assets/pokopia_image_sources/decorative_item_portraits/031-barrel.png,https://pokopiadex.com/images/items/item_ui/barrel.png,pokopiadex_items,image/png,35096,ffda5ecca078056c717540b095822d7d004ecdd9733e8283a2f1b22ed185b0f7,ok,
032,decorative_item,Barren ordinary soil,荒芜普通泥土,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/barren-ordinary-soil.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/barrenordinarysoil.webp,barren-ordinary-soil,Blocks,,barrenordinarysoil,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,032-barren-ordinary-soil.png,assets/pokopia_image_sources/decorative_item_portraits/032-barren-ordinary-soil.png,https://pokopiadex.com/images/items/item_ui/barren-ordinary-soil.png,pokopiadex_items,image/png,22122,28572b2ee040770c68078b42a0498aa1761a76aff9d1c8c01959be12d23a8abb,ok,
033,decorative_item,Barren pure-white soil,荒芜纯白泥土,Blocks,,infipoke_category:blocks,https://infipoke.com/img/pokopia/items/barrenpure-whitesoil.webp,infipoke_items,,,,,barrenpure-whitesoil,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,033-barren-pure-white-soil.webp,assets/pokopia_image_sources/decorative_item_portraits/033-barren-pure-white-soil.webp,https://infipoke.com/img/pokopia/items/barrenpure-whitesoil.webp,infipoke_items,image/webp,1070,318793b61783332944d0e9df85b7694f2e1378efc75c618eb234305e144dd360,ok,
034,decorative_item,Barren striped soil,荒芜条纹泥土,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/barren-striped-soil.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/barrenstripedsoil.webp,barren-striped-soil,Blocks,,barrenstripedsoil,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,034-barren-striped-soil.png,assets/pokopia_image_sources/decorative_item_portraits/034-barren-striped-soil.png,https://pokopiadex.com/images/items/item_ui/barren-striped-soil.png,pokopiadex_items,image/png,22995,08eb18d0e92d081d55709ee53d36888af641d82a3f22aa4dacc9a97006cd4dd7,ok,
035,decorative_item,Bathtime set,沐浴套装,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/bathtime-set.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/bathtimeset.webp,bathtime-set,Misc.,Toy,bathtimeset,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,035-bathtime-set.png,assets/pokopia_image_sources/decorative_item_portraits/035-bathtime-set.png,https://pokopiadex.com/images/items/item_ui/bathtime-set.png,pokopiadex_items,image/png,41032,ea598d1549cba57281e58bc04d0a4f204b486d02a2c47b559b830989462874ed,ok,
036,decorative_item,Bathtub,浴缸,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/bathtub.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/bathtub.webp,bathtub,Misc.,Decoration,bathtub,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,036-bathtub.png,assets/pokopia_image_sources/decorative_item_portraits/036-bathtub.png,https://pokopiadex.com/images/items/item_ui/bathtub.png,pokopiadex_items,image/png,18724,a28b20b62708cd8fc690a6a51ac89808fe281c866816fa4630576442e2af0599,ok,
037,decorative_item,Beach chair,沙滩椅,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/crafting_ui/beach-chair.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/beachchair.webp,beach-chair,Furniture,Relaxation,beachchair,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,037-beach-chair.png,assets/pokopia_image_sources/decorative_item_portraits/037-beach-chair.png,https://pokopiadex.com/images/items/crafting_ui/beach-chair.png,pokopiadex_items,image/png,137627,df9a1420cc93c46b87993171583815fcafa3ec1a57ea9a44c79b6dff21e1a883,ok,
038,decorative_item,Beach sand,海滩沙子,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/beach-sand.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/beachsand.webp,beach-sand,Blocks,,beachsand,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,038-beach-sand.png,assets/pokopia_image_sources/decorative_item_portraits/038-beach-sand.png,https://pokopiadex.com/images/items/item_ui/beach-sand.png,pokopiadex_items,image/png,82013,4a74c2fecbd7d5dd5df5d6574df27e9b9e41a6a83a09a23bc2f44f321e942345,ok,
039,decorative_item,Bell,钟,Outdoor,Toy,pokopiadex_tag:toy,https://pokopiadex.com/images/items/crafting_ui/bell.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/bell.webp,bell,Outdoor,Toy,bell,Outdoor,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,039-bell.png,assets/pokopia_image_sources/decorative_item_portraits/039-bell.png,https://pokopiadex.com/images/items/crafting_ui/bell.png,pokopiadex_items,image/png,122290,3c44adc0df6bc79dda67973b7ea8a858f48e144247bb3d33ca67ec4795e13821,ok,
040,decorative_item,Berry basket,树果篮,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/crafting_ui/berry-basket.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/berrybasket.webp,berry-basket,Misc.,Decoration,berrybasket,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,040-berry-basket.png,assets/pokopia_image_sources/decorative_item_portraits/040-berry-basket.png,https://pokopiadex.com/images/items/crafting_ui/berry-basket.png,pokopiadex_items,image/png,218198,cd6efde06f194dccad7c99bb365448b0506cb4b3f1ccf40a3353f4db8c89d490,ok,
041,decorative_item,Berry bed,树果床,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/berry-bed.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/berrybed.webp,berry-bed,Furniture,Relaxation,berrybed,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,041-berry-bed.png,assets/pokopia_image_sources/decorative_item_portraits/041-berry-bed.png,https://pokopiadex.com/images/items/item_ui/berry-bed.png,pokopiadex_items,image/png,26804,95902a6dd2f1af219d8ff89ad345c980f8c766079bec3c6385b3f80dff072e49,ok,
042,decorative_item,Berry case,树果箱,Furniture,Decoration,infipoke_category:furniture;infipoke_tag:decoration;pokopiadex_category:furniture;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/berry-case.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/berrycase.webp,berry-case,Furniture,Decoration,berrycase,Furniture,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,042-berry-case.png,assets/pokopia_image_sources/decorative_item_portraits/042-berry-case.png,https://pokopiadex.com/images/items/item_ui/berry-case.png,pokopiadex_items,image/png,29321,80155316749ad465dfa45590930ff83096846ebeeb87196f39504fe2d04e9c26,ok,
