sequence,kind,id,name,slug,description,category,tags,sources,event,inventory_status,collectible,order_key,order_value,trade_sell_value,trade_buy_value,trade_buy_quantity,life_coins,shop_level,mosslax,storage_capacity,habitat_item_category_ids,favorite_category_ids,image_url,variant_image_urls,source_page,source,filename,relative_path,downloaded_url,content_type,bytes,sha256,status,error
0011,placeable_item,198,Fresh carrot,fresh-carrot,You can harvest these spicy carrots by pulling up on their leaves. Restores some PP when eaten.,Food,"[""Food""]","[""Pull carrot leaves""]",,in-collection,,food_order,11,20,,,,,Increase Pokemon Spawns (Weak),,[],[2235],https://pokopiadex.com/images/items/item_ui/fresh-carrot.png,[],https://pokopiadex.com/items/fresh-carrot,pokopiadex_items_in_collection,0011-fresh-carrot.png,assets/pokopia_image_sources/item_portraits/0011-fresh-carrot.png,https://pokopiadex.com/images/items/item_ui/fresh-carrot.png,image/png,92685,9a0dbf11a99443bbfeb8a0f22f554073f805ccf5f4913e050b1820bba91a92c5,ok,
0012,placeable_item,56,Seaweed,seaweed,Seaweed that has washed ashore. Restores some PP when eaten.,Food,"[""Food""]","[""Beach"",""Area gate between Withered Wasteland and Bleak Beach""]",,in-collection,,food_order,12,,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/item_ui/seaweed.png,[],https://pokopiadex.com/items/seaweed,pokopiadex_items_in_collection,0012-seaweed.png,assets/pokopia_image_sources/item_portraits/0012-seaweed.png,https://pokopiadex.com/images/items/item_ui/seaweed.png,image/png,33116,39f5c215801a30cec3e6224eb7b57524dd343e31174313effa0a5f01ec6f6cdf,ok,
0013,placeable_item,574,Cave mushrooms,cave-mushrooms,"Mushrooms that grow in damp places, such as caves or under shady trees. Restores some PP when eaten.",Food,"[""Food""]","[""Gifts from Pokemon""]",,in-collection,,food_order,13,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/dream_ui/cave-mushrooms.png,[],https://pokopiadex.com/items/cave-mushrooms,pokopiadex_items_in_collection,0013-cave-mushrooms.png,assets/pokopia_image_sources/item_portraits/0013-cave-mushrooms.png,https://pokopiadex.com/images/items/dream_ui/cave-mushrooms.png,image/png,167032,bf3a583c3b8df07d47f2367034db1cf8f1d2f856026ad03964219b636af0a0eb,ok,
0014,placeable_item,729,Simple salad,simple-salad,An ordinary salad made with leaves. Powers up Leafage when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,14,,,,,,Increase Pokemon Friendship (Regular),,[],[],https://pokopiadex.com/images/items/item_ui/simple-salad.png,[],https://pokopiadex.com/items/simple-salad,pokopiadex_items_in_collection,0014-simple-salad.png,assets/pokopia_image_sources/item_portraits/0014-simple-salad.png,https://pokopiadex.com/images/items/item_ui/simple-salad.png,image/png,189744,c86b73251dc1f9d71ec70bd43255f3b25fe9566cddbaf3eb421a7f1827fe154d,ok,
0015,placeable_item,1076,Leppa salad,leppa-salad,A sweet salad made with Leppa Berries. Powers up Leafage when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,15,,,,,,Increase Artifact Spawns (Strong),,[],[2240],https://pokopiadex.com/images/items/item_ui/leppa-salad.png,[],https://pokopiadex.com/items/leppa-salad,pokopiadex_items_in_collection,0015-leppa-salad.png,assets/pokopia_image_sources/item_portraits/0015-leppa-salad.png,https://pokopiadex.com/images/items/item_ui/leppa-salad.png,image/png,184366,8abba35df9337ba271122fa6afb9c81582f3f7178770a38d15d30efab878a94c,ok,
0016,placeable_item,1093,Seaweed salad,seaweed-salad,A bitter-tasting salad made with seaweed. Powers up Leafage when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,16,,,,,,Increase Rare Items (Strong),,[],[2197],https://pokopiadex.com/images/items/item_ui/seaweed-salad.png,[],https://pokopiadex.com/items/seaweed-salad,pokopiadex_items_in_collection,0016-seaweed-salad.png,assets/pokopia_image_sources/item_portraits/0016-seaweed-salad.png,https://pokopiadex.com/images/items/item_ui/seaweed-salad.png,image/png,40712,2484746fd0e65edaf1141249565c25e5bff38e423344a6dc15322f926467506a,ok,
0017,placeable_item,1094,Shredded salad,shredded-salad,A sour salad made with finely chopped leaves. Powers up Leafage when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,17,,,,,,Increase Shop Quality & Discounts (Strong),,[],[2234],https://pokopiadex.com/images/items/item_ui/shredded-salad.png,[],https://pokopiadex.com/items/shredded-salad,pokopiadex_items_in_collection,0017-shredded-salad.png,assets/pokopia_image_sources/item_portraits/0017-shredded-salad.png,https://pokopiadex.com/images/items/item_ui/shredded-salad.png,image/png,38092,75956ecb2ec8b7d41249f46c8293b386c6daf7458116fbf12debc39621aba7e6,ok,
0018,placeable_item,1095,Crushed-berry salad,crushed-berry-salad,"A salad with a dry flavor, made with crushed Chesto Berries. Powers up Leafage when eaten.",Food,"[""Food""]",[],,in-collection,,food_order,18,,,,,,Increase Feather Drops (Strong),,[],[2205],https://pokopiadex.com/images/items/item_ui/crushed-berry-salad.png,[],https://pokopiadex.com/items/crushed-berry-salad,pokopiadex_items_in_collection,0018-crushed-berry-salad.png,assets/pokopia_image_sources/item_portraits/0018-crushed-berry-salad.png,https://pokopiadex.com/images/items/item_ui/crushed-berry-salad.png,image/png,33823,11c1c911386abdf64290cb0f17bd82bb02ebe597fb2dbd5e653400632f9fe37c,ok,
0019,placeable_item,1077,Crouton salad,crouton-salad,A spicy salad with a delightfully crunchy texture. Powers up Leafage when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,19,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/crouton-salad.png,[],https://pokopiadex.com/items/crouton-salad,pokopiadex_items_in_collection,0019-crouton-salad.png,assets/pokopia_image_sources/item_portraits/0019-crouton-salad.png,https://pokopiadex.com/images/items/item_ui/crouton-salad.png,image/png,183152,617682abd50a83be6a2676142d2cbaf60b057325880f255da53f8a626553b2e6,ok,
0020,placeable_item,1078,Simple soup,simple-soup,An ordinary soup made with Fresh Water. Powers up Water Gun when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,20,,,,,,Increase Pokemon Friendship (Regular),,[],[],https://pokopiadex.com/images/items/item_ui/simple-soup.png,[],https://pokopiadex.com/items/simple-soup,pokopiadex_items_in_collection,0020-simple-soup.png,assets/pokopia_image_sources/item_portraits/0020-simple-soup.png,https://pokopiadex.com/images/items/item_ui/simple-soup.png,image/png,141330,5a638e2c7be14fe2daa1d7d0449103415c83a3be1351e7de7f59b551ae28f367,ok,
0021,placeable_item,858,Seaweed soup,seaweed-soup,A bitter-tasting soup made with seaweed. Powers up Water Gun when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,21,,,,,,Increase Rare Items (Strong),,[],[2197],https://pokopiadex.com/images/items/item_ui/seaweed-soup.png,[],https://pokopiadex.com/items/seaweed-soup,pokopiadex_items_in_collection,0021-seaweed-soup.png,assets/pokopia_image_sources/item_portraits/0021-seaweed-soup.png,https://pokopiadex.com/images/items/item_ui/seaweed-soup.png,image/png,141008,1ca953a0189a271d8a5d10e24065a9df69e481d4cc202706827e58810ad8afee,ok,
0022,placeable_item,1079,Mushroom soup,mushroom-soup,A soup with a dry flavor made with mushroom broth.,Food,"[""Food""]",[],,in-collection,,food_order,22,,,,,,Increase Feather Drops (Strong),,[],[2205],https://pokopiadex.com/images/items/item_ui/mushroom-soup.png,[],https://pokopiadex.com/items/mushroom-soup,pokopiadex_items_in_collection,0022-mushroom-soup.png,assets/pokopia_image_sources/item_portraits/0022-mushroom-soup.png,https://pokopiadex.com/images/items/item_ui/mushroom-soup.png,image/png,158403,b21e9f27b99b9b6929b1d08a7e7801f54b74eaf0addb6c2cdc1130751709679e,ok,
0023,placeable_item,1091,Electrifying soup,electrifying-soup,A shockingly spicy soup.. Powers up Water Gun when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,23,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/electrifying-soup.png,[],https://pokopiadex.com/items/electrifying-soup,pokopiadex_items_in_collection,0023-electrifying-soup.png,assets/pokopia_image_sources/item_portraits/0023-electrifying-soup.png,https://pokopiadex.com/images/items/item_ui/electrifying-soup.png,image/png,37384,40f0d1031d3e9b1fb1c9da465e8d1bd6829f2e16612a127df13ec117c5a210c8,ok,
0024,placeable_item,859,Healthy soup,healthy-soup,A spicy soup with an aromantic bean flavor. Powers up Water Gun when eaten!,Food,"[""Food""]",[],,in-collection,,food_order,24,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/healthy-soup.png,[],https://pokopiadex.com/items/healthy-soup,pokopiadex_items_in_collection,0024-healthy-soup.png,assets/pokopia_image_sources/item_portraits/0024-healthy-soup.png,https://pokopiadex.com/images/items/item_ui/healthy-soup.png,image/png,178861,ccc6f6819119f0de4cf50def158854a978dce8744de53a0aa76ae9cde2cd5b1e,ok,
0025,placeable_item,1092,Flavorful soup,flavorful-soup,A sour soup bursting with flavor. Powers up Water Gun when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,25,,,,,,Increase Shop Quality & Discounts (Strong),,[],[2234],https://pokopiadex.com/images/items/item_ui/flavorful-soup.png,[],https://pokopiadex.com/items/flavorful-soup,pokopiadex_items_in_collection,0025-flavorful-soup.png,assets/pokopia_image_sources/item_portraits/0025-flavorful-soup.png,https://pokopiadex.com/images/items/item_ui/flavorful-soup.png,image/png,35791,dee8f550e98a4edb274664bf62510962e35117ae24de7aeda7f95dca49281ab1,ok,
0026,placeable_item,748,Simple bread,simple-bread,Ordinary wheat bread. Powers up Cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,26,,,,,,Increase Pokemon Friendship (Regular),,[],[],https://pokopiadex.com/images/items/item_ui/simple-bread.png,[],https://pokopiadex.com/items/simple-bread,pokopiadex_items_in_collection,0026-simple-bread.png,assets/pokopia_image_sources/item_portraits/0026-simple-bread.png,https://pokopiadex.com/images/items/item_ui/simple-bread.png,image/png,80161,b7096d52c7427a276a7b6d0706d908761c5d4c624feb07d0975777746fdc23e7,ok,
0027,placeable_item,1080,Leppa bread,leppa-bread,Sour-tasting bread made with Leppa Berry jam. Powers up Cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,27,,,,,,Increase Shop Quality & Discounts (Strong),,[],[2234],https://pokopiadex.com/images/items/item_ui/leppa-bread.png,[],https://pokopiadex.com/items/leppa-bread,pokopiadex_items_in_collection,0027-leppa-bread.png,assets/pokopia_image_sources/item_portraits/0027-leppa-bread.png,https://pokopiadex.com/images/items/item_ui/leppa-bread.png,image/png,136684,0a76a57f1a1e776c6e2708cb2b662a2e5c54c89e33f17a2abade769b831d9a2d,ok,
0028,placeable_item,1081,Carrot bread,carrot-bread,Spicy bread with an intense carrot flavor. Powers up Cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,28,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/carrot-bread.png,[],https://pokopiadex.com/items/carrot-bread,pokopiadex_items_in_collection,0028-carrot-bread.png,assets/pokopia_image_sources/item_portraits/0028-carrot-bread.png,https://pokopiadex.com/images/items/item_ui/carrot-bread.png,image/png,115719,738d28663799bb65578125918759dbae4194e25e58247daffe6fa6f7ee4e9f20,ok,
0029,placeable_item,1088,Recycled bread,recycled-bread,Bitter-tasting bread made by reusing other bread. Powers up Cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,29,,,,,,Increase Rare Items (Strong),,[],[2197],https://pokopiadex.com/images/items/item_ui/recycled-bread.png,[],https://pokopiadex.com/items/recycled-bread,pokopiadex_items_in_collection,0029-recycled-bread.png,assets/pokopia_image_sources/item_portraits/0029-recycled-bread.png,https://pokopiadex.com/images/items/item_ui/recycled-bread.png,image/png,28158,6b87a42abc62f3f733fc45ffa048043850b018ec915749dc0065a3db4a35cfd0,ok,
0030,placeable_item,1089,Fluffy bread,fluffy-bread,Sweet bread made with Pecha Berries. Powers up cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,30,,,,,,Increase Artifact Spawns (Strong),,[],[2240],https://pokopiadex.com/images/items/item_ui/fluffy-bread.png,[],https://pokopiadex.com/items/fluffy-bread,pokopiadex_items_in_collection,0030-fluffy-bread.png,assets/pokopia_image_sources/item_portraits/0030-fluffy-bread.png,https://pokopiadex.com/images/items/item_ui/fluffy-bread.png,image/png,26983,dbbe7aacac48344ec471f78179f40a6d05e24868d2be1f3d3966f6bc2caf798f,ok,
0031,placeable_item,1090,Bread bowl,bread-bowl,Spicy bread that's delicious even when burnt. Powers up Cut when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,31,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/bread-bowl.png,[],https://pokopiadex.com/items/bread-bowl,pokopiadex_items_in_collection,0031-bread-bowl.png,assets/pokopia_image_sources/item_portraits/0031-bread-bowl.png,https://pokopiadex.com/images/items/item_ui/bread-bowl.png,image/png,33984,14e01958c889ce68ed038cc8d9a2a450840496461cc6005368ee525c430353dd,ok,
0032,placeable_item,1082,Simple hamburger steak,simple-hamburger-steak,"An ordinary hamburger steak, made with beans. Powers up Rock Smash when eaten.",Food,"[""Food""]",[],,in-collection,,food_order,32,,,,,,Increase Pokemon Friendship (Regular),,[],[],https://pokopiadex.com/images/items/item_ui/simple-hamburger-steak.png,[],https://pokopiadex.com/items/simple-hamburger-steak,pokopiadex_items_in_collection,0032-simple-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0032-simple-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/simple-hamburger-steak.png,image/png,160272,4f1752f4572101346299f7e3477aea603ad4b4b277e8915dd7cedb78ceb1027a,ok,
0033,placeable_item,1084,Mushroom hamburger steak,mushroom-hamburger-steak,"A hamburger steak with an intensely dry, mushroomy flavor. Powers up Rock Smash when eaten.",Food,"[""Food""]",[],,in-collection,,food_order,33,,,,,,Increase Feather Drops (Strong),,[],[2205],https://pokopiadex.com/images/items/item_ui/mushroom-hamburger-steak.png,[],https://pokopiadex.com/items/mushroom-hamburger-steak,pokopiadex_items_in_collection,0033-mushroom-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0033-mushroom-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/mushroom-hamburger-steak.png,image/png,33402,a1196d33544e69b002a77829a9e7bdbf68fa3599271040f78be2d2492c9506d6,ok,
0034,placeable_item,1085,Tomato hamburger steak,tomato-hamburger-steak,A hamburger steak that brings out the sour flavor of its ingredients.. Powers up Rock Smash when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,34,,,,,,Increase Shop Quality & Discounts (Strong),,[],[2234],https://pokopiadex.com/images/items/item_ui/tomato-hamburger-steak.png,[],https://pokopiadex.com/items/tomato-hamburger-steak,pokopiadex_items_in_collection,0034-tomato-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0034-tomato-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/tomato-hamburger-steak.png,image/png,34474,06e82fee80475c6415c15e5765897999eead53e592727eb3984a5b1dcbf88d83,ok,
0035,placeable_item,1086,Potato Hamburger Steak,potato-hamburger-steak,A satisfyingly sweet hamburger steak. Powers up Rock Smash a lot when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,35,,,,,,Increase Artifact Spawns (Strong),,[],[2240],https://pokopiadex.com/images/items/item_ui/potato-hamburger-steak.png,[],https://pokopiadex.com/items/potato-hamburger-steak,pokopiadex_items_in_collection,0035-potato-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0035-potato-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/potato-hamburger-steak.png,image/png,34596,7f4b0e47c416ce4404492dc55ed01dbfed4c1dd0cc62b4395b3e07e45872f788,ok,
0036,placeable_item,1083,Bitter hamburger steak,bitter-hamburger-steak,A bitter-tasting hamburger steak topped with leaves.,Food,"[""Food""]",[],,in-collection,,food_order,36,,,,,,Increase Rare Items (Strong),,[],[2197],https://pokopiadex.com/images/items/item_ui/bitter-hamburger-steak.png,[],https://pokopiadex.com/items/bitter-hamburger-steak,pokopiadex_items_in_collection,0036-bitter-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0036-bitter-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/bitter-hamburger-steak.png,image/png,132048,9bf9704aa51b5713fa68dbbdb8ac78a425e2f4931e349d7367a362f391e3b680,ok,
0037,placeable_item,1087,Vibrant hamburger steak,vibrant-hamburger-steak,A hamburger steak made with lots of ingredients. Powers up Rock Smash a lot when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,37,,,,,,Increase Pokemon Friendship (Strong),,[],[],https://pokopiadex.com/images/items/item_ui/vibrant-hamburger-steak.png,[],https://pokopiadex.com/items/vibrant-hamburger-steak,pokopiadex_items_in_collection,0037-vibrant-hamburger-steak.png,assets/pokopia_image_sources/item_portraits/0037-vibrant-hamburger-steak.png,https://pokopiadex.com/images/items/item_ui/vibrant-hamburger-steak.png,image/png,41082,0809905ab19b961298918cb9b239aa2162a71c31f2f321fee55618329a154996,ok,
0038,placeable_item,1579,Bruised berry,bruised-berry,A bruised berry you got from Chef Dente. Restores a bit of PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,38,,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/item_ui/bruised-berry.png,[],https://pokopiadex.com/items/bruised-berry,pokopiadex_items_in_collection,0038-bruised-berry.png,assets/pokopia_image_sources/item_portraits/0038-bruised-berry.png,https://pokopiadex.com/images/items/item_ui/bruised-berry.png,image/png,28315,3126047cca3348da3a5694529a3929c3590353e7b80264394d16f8f7b10cdf43,ok,
0039,placeable_item,2043,Common candy,common-candy,A piece of candy you got from Chef Dente. Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,39,,,,,,,,[],[2240],https://pokopiadex.com/images/items/item_ui/common-candy.png,[],https://pokopiadex.com/items/common-candy,pokopiadex_items_in_collection,0039-common-candy.png,assets/pokopia_image_sources/item_portraits/0039-common-candy.png,https://pokopiadex.com/images/items/item_ui/common-candy.png,image/png,20845,840d81435c7d730387f4bb105f5fe692e44ac4cea867559ab8c82c9a75ab114a,ok,
0040,placeable_item,2044,Rare Candy,rare-candy,A Rare Candy you got from Chef Dente. Restores a lot of PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,40,,,,,,,,[],[2240],https://pokopiadex.com/images/items/item_ui/rare-candy.png,[],https://pokopiadex.com/items/rare-candy,pokopiadex_items_in_collection,0040-rare-candy.png,assets/pokopia_image_sources/item_portraits/0040-rare-candy.png,https://pokopiadex.com/images/items/item_ui/rare-candy.png,image/png,20817,c3e396ce1f854d85e45e412bd49d95b9eacfcfac34b81d16308b818f7f061795,ok,
0041,placeable_item,1581,Curry and rice,curry-and-rice,An absolutely essential meal for any party. Enjoy some tasty food alongside other Pokémon!,Food,"[""Food""]",[],,in-collection,,food_order,41,,,,,,Increase Pokemon Spawns (Strong),,[],[2235],https://pokopiadex.com/images/items/item_ui/curry-and-rice.png,[],https://pokopiadex.com/items/curry-and-rice,pokopiadex_items_in_collection,0041-curry-and-rice.png,assets/pokopia_image_sources/item_portraits/0041-curry-and-rice.png,https://pokopiadex.com/images/items/item_ui/curry-and-rice.png,image/png,30306,c7f45e7e570e54cb854d07a099b1928ad2cf23c36057faf10c8b4c3706a5b23e,ok,
0042,placeable_item,770,Fresh Water,fresh-water,Delicious water that's perfect for making soup. Drink some and spit it out to make things wet.,Food,"[""Food""]","[""Red Pokeball near mine entrance in Rocky Ridges""]",,in-collection,,food_order,42,,,,50-300,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/item_ui/fresh-water.png,[],https://pokopiadex.com/items/fresh-water,pokopiadex_items_in_collection,0042-fresh-water.png,assets/pokopia_image_sources/item_portraits/0042-fresh-water.png,https://pokopiadex.com/images/items/item_ui/fresh-water.png,image/png,136369,11460a83cb7b27a6f25e2cc01cb0168584afd45b6df85434544eff7d912b84f4,ok,
0043,placeable_item,1582,Soda Pop,soda-pop,"Fizzy, sparkling soda. If you take a sip and spit it out, it becomes seawater.",Food,"[""Food""]",[],,in-collection,,food_order,43,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/item_ui/soda-pop.png,[],https://pokopiadex.com/items/soda-pop,pokopiadex_items_in_collection,0043-soda-pop.png,assets/pokopia_image_sources/item_portraits/0043-soda-pop.png,https://pokopiadex.com/images/items/item_ui/soda-pop.png,image/png,19512,9e3100a34fee73f61de1ad95f78f9acee5ad6c43518947709a0f5fcf66792e4e,ok,
0044,placeable_item,243,Moomoo Milk coffee,moomoo-milk-coffee,"Milky coffee with a comfortingly sweet taste. If you take a sip and spit it out, it becomes muddy water!",Food,"[""Food""]","[""Vending machine""]",,in-collection,,food_order,44,,,,,,Increase Artifact Spawns (Weak),,[],[2240],https://pokopiadex.com/images/items/item_ui/moomoo-milk-coffee.png,[],https://pokopiadex.com/items/moomoo-milk-coffee,pokopiadex_items_in_collection,0044-moomoo-milk-coffee.png,assets/pokopia_image_sources/item_portraits/0044-moomoo-milk-coffee.png,https://pokopiadex.com/images/items/item_ui/moomoo-milk-coffee.png,image/png,23763,d637d31962410c5175631521c1118ba01ea1997af5c2cbb88ca243b73c206131,ok,
