编号	形态编号	中文名	形态名	日文名	英文名	属性1	属性2	特长	时间	天气	栖息地	喜欢的环境	喜欢的东西	分类	图鉴说明	身高	体重
11	0	比比鸟		ピジョン	Pidgeotto	一般	飞行	飞翔|找东西	1110	111	006|008	明亮	柔软的|能感受风的|用于观赏的|能感受大自然的|很像食物的|辣辣的	鸟	拥有超群的体力，而且飞翔范围广，经常飞到很远的地方寻找食物。	1.1	30.0
12	0	大比鸟		ピジョット	Pidgeot	一般	飞行	飞翔|伐木	1110	111	039	明亮	柔软的|能感受风的|木制的|能感受大自然的|豪华的|酸酸的	鸟	会展开美丽的翅膀威吓对手。能以２马赫的速度在天上飞来飞去。	1.5	39.5
13	0	走路草		ナゾノクサ	Oddish	草	毒	栽培	0001	111	001	潮湿	能感受大自然的|能感受土的|柔软的|百花盛开|能感受水的|苦苦的	杂草	别名谜行草。据说到了晚上，会用２条根走上长达３００米的距离。	0.5	5.4
14	0	臭臭花		クサイハナ	Gloom	草	毒	栽培	1111	111	057	潮湿	能感受大自然的|能感受土的|柔软的|百花盛开|垃圾|涩涩的	杂草	从嘴里流出来的蜜有着就算在２公里外也能把鼻子熏歪的强烈臭味。	0.8	8.6
15	0	霸王花		ラフレシア	Vileplume	草	毒	栽培|乱撒	1111	111	034	潮湿	能感受大自然的|能感受土的|柔软的|百花盛开|多彩的|苦苦的	花	它有着世界上最大的花瓣。每走一步，花瓣都会跟着摇动，同时撒出大量的毒花粉。	1.2	18.6
16	0	美丽花		キレイハナ	Bellossom	草	草	栽培|带动气氛	1111	111	034	明亮	能感受大自然的|百花盛开|游乐区|可爱的|会出声的|酸酸的	花	在南国大量生活着。跳舞时花瓣会互相碰触，发出悦耳的声音。	0.4	5.8
17	0	派拉斯		パラス	Paras	虫	草	找东西	1111	111	012|014	潮湿	能感受大自然的|木制的|用于观赏的|能感受土的|很像食物的|苦苦的	蘑菇	它会通过挖洞来从树根里吸取营养，但大部分营养都会被背上的蘑菇抢走。	0.3	5.4
18	0	派拉斯特		パラセクト	Parasect	虫	草	找东西	1111	111	014|012	潮湿	能感受大自然的|木制的|用于观赏的|能感受土的|奇妙的|苦苦的	蘑菇	由于虫子的精华不断被吸走，在思考的似乎已经不是虫子，而是背上的蘑菇了。	1.0	29.5
19	0	毛球		コンパン	Venonat	虫	毒	找东西	0001	111	007|023	明亮	能感受大自然的|木制的|用于观赏的|看起来很难懂的|有文字的|苦苦的	昆虫	在明亮的地方你便能发现它具有雷达功能的大眼其实是由许多个小眼睛聚集而成的。	1.0	30.0
20	0	摩鲁蛾		モルフォン	Venomoth	虫	毒	找东西	0001	111	023|007	明亮	能感受大自然的|木制的|用于观赏的|能感受风的|百花盛开|苦苦的	毒蛾	翅膀上附着着鳞粉，每次翩翩扇动翅膀，就会播撒剧毒的粉末。	1.5	12.5
21	0	喇叭芽		マダツボミ	Bellsprout	草	毒	栽培|乱撒	1111	111	002	潮湿	能感受大自然的|木制的|能感受土的|能感受水的|百花盛开|涩涩的	花	会把脚伸到地下深处补充水分，但若在此时遭到袭击就会无法逃脱。	0.7	4.0
22	0	口呆花		ウツドン	Weepinbell	草	毒	栽培|乱撒	1111	111	035|021	潮湿	能感受大自然的|木制的|能感受土的|多彩的|百花盛开|苦苦的	捕蝇	因为它也能分泌出让溶解液无效的液体，所以自身不会被溶解。	1.0	6.4
23	0	大食花		ウツボット	Victreebel	草	毒	栽培|伐木	1111	111	035|021	潮湿	能感受大自然的|木制的|能感受土的|多彩的|百花盛开|苦苦的	捕蝇	溶掉了大量食物的溶解液会更加甜美，从而变得更容易吸引猎物上门。	1.7	15.5
24	0	呆呆兽		ヤドン	Slowpoke	水	超能力	滋润|哈欠	1111	111	005	潮湿	能感受水的|整洁的|奇妙的|柔软的|能治愈伤口的|涩涩的	憨憨	动作迟缓又呆头呆脑。就算挨打也要过５秒才能感受到疼痛。	1.2	36.0
25	0	呆壳兽		ヤドラン	Slowbro	水	超能力	滋润|交易	1111	111	184|030|005	潮湿	能感受水的|整洁的|奇妙的|大家一起用的|能治愈伤口的|涩涩的	寄居蟹	呆呆兽去海里捕食时，由于被大舌贝咬住尾巴而变成了呆壳兽。	1.6	78.5
26	0	呆呆王		ヤドキング	Slowking	水	超能力	滋润|瞬间移动	1111	111	184|030|005	潮湿	能感受水的|整洁的|奇妙的|大家一起用的|能治愈伤口的|酸酸的	王者	有着非凡的智慧和灵感。不论何时都会不慌不忙，一副悠然自得的样子。	2.0	79.5
27	0	小磁怪		コイル	Magnemite	电	钢	发电	1111	111	038	明亮	电力驱动的|金属的|闪亮亮的|坚硬的|大家一起用的|苦苦的	磁铁	用左右的组件放出的电磁波来屏蔽重力，使自己浮在空中。	0.3	6.0
28	0	三合一磁怪		レアコイル	Magneton	电	钢	发电	1111	111	085|064	明亮	电力驱动的|金属的|闪亮亮的|群聚的|大家一起用的|苦苦的	磁铁	３只小磁怪连在了一起。会通过放出强力的电波来观测周围的状况。	1.0	60.0
29	0	自爆磁怪		ジバコイル	Magnezone	电	钢	发电|回收利用	1111	111	085|064	明亮	电力驱动的|金属的|豪华的|群聚的|坚硬的|苦苦的	磁场	据说会在空中来回飞行，一边发送怪异电波一边接收未知电波。	1.2	180.0
30	0	大岩蛇		イワーク	Onix	岩石	地面	碾压|重踏	1111	111	037	干燥	石制的|能感受土的|棱角分明的|细长的|训练用的|涩涩的	岩蛇	弯曲扭动巨大结实的身体，以时速８０公里的猛烈劲头向前挖进。	8.8	210.0
31	0	大钢蛇		ハガネール	Steelix	钢	地面	碾压|重踏	1111	111	117	干燥	金属的|能感受土的|石制的|细长的|坚硬的|酸酸的	铁蛇	人们认为它的身体是因为堆积了很多和泥土一起吞下的铁元素，才会发生变化的。	9.2	400.0
32	0	卡拉卡拉		カラカラ	Cubone	地面	地面	建造	1111	111	013	干燥	能感受土的|建设|训练用的|细长的|大家一起用的|苦苦的	孤独	它头上戴着死去母亲的头骨。它的哭声会在头骨里回响出悲伤的旋律。	0.4	6.5
33	0	嘎啦嘎啦		ガラガラ	Marowak	地面	地面	建造	1111	111	013	干燥	能感受土的|建设|训练用的|细长的|豪华的|涩涩的	爱骨	身体曾经又小又弱，在习惯了使用骨头战斗后才变成了粗暴的性格。	1.0	45.0
34	0	无畏小子		バルキー	Tyrogue	格斗	格斗	交易	1111	111	018	明亮	训练用的|大家一起用的|布制的|石制的|圆圆的|辣辣的	打斗	因为想要变得更强，所以会疯狂锻炼身体，遇到谁都会上前挑战。	0.7	21.0
35	0	飞腿郎		サワムラー	Hitmonlee	格斗	格斗	交易	1111	111	025	明亮	训练用的|大家一起用的|布制的|石制的|圆圆的|辣辣的	踢腿	能自由地伸缩腿的韧带，让踢技的攻击范围扩大至２倍。	1.5	49.8
36	0	快拳郎		エビワラー	Hitmonchan	格斗	格斗	交易	1111	111	024	明亮	训练用的|大家一起用的|布制的|石制的|圆圆的|甜甜的	拳击	会用左右组合拳把敌人逼入绝境，再使出时速５００公里的直拳一口气打败对手。	1.4	50.2
37	0	战舞郎		カポエラー	Hitmontop	格斗	格斗	交易	1111	111	026	明亮	训练用的|大家一起用的|布制的|石制的|圆圆的|甜甜的	倒立	擅长如舞蹈般的踢技。头上的角拥有与体毛和指甲相同的成分。	1.4	48.0
38	0	瓦斯弹		ドガース	Koffing	毒	毒	回收利用	1111	111	063	昏暗	垃圾|群聚的|看起来很难懂的|柔软的|摇摇晃晃的|苦苦的	毒气	会通过往体内储存比空气还轻的瓦斯浮在空中。瓦斯不但很臭还会爆炸。	0.6	1.0
39	0	双弹瓦斯		マタドガス	Weezing	毒	毒	回收利用	1111	111	048|063	昏暗	垃圾|群聚的|看起来很难懂的|柔软的|摇摇晃晃的|苦苦的	毒气	将它体内所含的毒瓦斯稀释到极限，就能做出最高级的香水。	1.2	9.5
40	0	蔓藤怪		モンジャラ	Tangela	草	草	栽培|乱撒	1111	111	049	明亮	能感受大自然的|能感受水的|群聚的|百花盛开|细长的|酸酸的	藤蔓状	藤蔓即使断了也能无限生长，里面的真面目是什么样子，直到今天也未被查明。	1.0	35.0
41	0	巨蔓藤	博士	モジャンボ	Tangrowth	草	草	鉴定	1111	111	043	潮湿	能感受大自然的|看起来很难懂的|有文字的|奇妙的|大家一起用的|涩涩的	藤蔓状	还是蔓藤怪的时候，曾和人类的博士一起生活过。胸前的眼镜是博士的心爱之物。	2.0	127.9
41	1	巨蔓藤		モジャンボ	Tangrowth	草	草	栽培|乱撒	1111	111	022	潮湿	能感受大自然的|能感受水的|群聚的|百花盛开|用于观赏的|苦苦的	藤蔓状	栖息的地域越是温暖，藤蔓生长得就越快。藤蔓变长后，它会亲手将其扯断使其变短。	2.0	128.6
42	0	飞天螳螂		ストライク	Scyther	虫	飞行	伐木	1111	111	002	明亮	能感受大自然的|能感受风的|木制的|尖尖的|训练用的|辣辣的	螳螂	双手的镰刀锋利无比，砍断越多坚硬的东西，锋利的程度就越能得到提升。	1.5	56.0
43	0	巨钳螳螂		ハッサム	Scizor	虫	钢	伐木	1111	111	002	明亮	能感受大自然的|金属的|木制的|坚硬的|训练用的|苦苦的	钳子	当它举起带有眼珠花纹的钳子威吓对手时，看起来就像是拥有３颗头一样。	1.8	118.0
44	0	凯罗斯		カイロス	Pinsir	虫	虫	伐木|建造	1111	111	002	明亮	能感受大自然的|木制的|百花盛开|尖尖的|训练用的|辣辣的	锹形虫	会挥舞着长角攻击过来。天冷的时候就会躲入森林深处。	1.5	55.0
45	0	鲤鱼王		コイキング	Magikarp	水	水	不明	1111	111	185	潮湿	能感受水的|能感受海的|大家一起用的|交通工具|摇摇晃晃的|甜甜的	鱼	没力量的可怜宝可梦。即使偶尔跳得比较高，也只能勉强超过2米。	0.9	10.0
46	0	暴鲤龙		ギャラドス	Gyarados	水	飞行	滋润	1111	111	146	潮湿	能感受水的|能感受海的|能感受风的|整洁的|细长的|辣辣的	凶恶	据说暴鲤龙一旦现身，不把周围的一切都燃烧殆尽，它的怒火就不会平息。	6.5	235.0
47	0	百变怪		メタモン	Ditto	一般	一般	变身	1111	111		明亮	无	变身	通过重组细胞让自己样子变得和眼前的对手一模一样。相似度依个体而有所不同。	0.3	4.0
48	0	咕咕		ホーホー	Hoothoot	一般	飞行	交易|飞翔	0001	111	008|006|031	昏暗	柔软的|能感受风的|布制的|摇摇晃晃的|用于观赏的|涩涩的	猫头鹰	不管在什么时候，体内的生物钟都准确无比，会用固定的节奏倾斜头部。	0.7	21.2
49	0	猫头夜鹰		ヨルノズク	Noctowl	一般	飞行	交易|飞翔	0001	111	031|006	昏暗	柔软的|能感受风的|有文字的|容器|用于观赏的|涩涩的	猫头鹰	双眼有着特殊的构造。只要接收到一点点光线，即使是在黑暗中也能分辨四周的情况。	1.6	40.8
50	0	赫拉克罗斯		ヘラクロス	Heracross	虫	格斗	伐木|建造	1111	111	002	明亮	能感受大自然的|木制的|百花盛开|很像食物的|训练用的|甜甜的	独角	用２只触角来感知气味，以此在整片森林中寻找自己超爱的甘甜树汁。	1.5	54.0
51	0	电萤虫		バルビート	Volbeat	虫	虫	带动气氛	1111	111	010	昏暗	能感受大自然的|木制的|闪亮亮的|可爱的|大家一起用的|甜甜的	萤火虫	会闪烁臀部的光来和伙伴交流。非常喜欢甜甜萤放出的甜甜香气。	0.7	17.7
52	0	甜甜萤		イルミーゼ	Illumise	虫	虫	带动气氛	1111	111	010	昏暗	能感受大自然的|木制的|闪亮亮的|可爱的|大家一起用的|酸酸的	萤火虫	会诱导电萤虫在夜空中描绘记号。也有学者在研究记号的含意。	0.6	17.7
53	0	溶食兽		ゴクリン	Gulpin	毒	毒	收纳	1111	111	019	潮湿	可爱的|很像食物的|圆圆的|容器|多彩的|辣辣的	胃袋	心脏和大脑都很小，身体的大部分是胃。会分泌出什么都能溶解的胃液。	0.4	10.3
54	0	吞食兽		マルノーム	Swalot	毒	毒	收纳	1111	111	120	潮湿	垃圾|很像食物的|圆圆的|容器|多彩的|苦苦的	毒袋	即使是轮胎也能整个吞掉。会从身上的毛孔分泌出带有剧毒的体液。	1.7	80.0
55	0	刺球仙人掌		サボネア	Cacnea	草	草	栽培	1111	100	042	干燥	能感受大自然的|百花盛开|可爱的|圆圆的|尖尖的|辣辣的	仙人掌	栖息在少雨的干燥地方。黄色的花朵１年绽放１次。	0.4	51.3
56	0	梦歌仙人掌		ノクタス	Cacturne	草	恶	栽培|乱撒	0001	111	009	干燥	能感受大自然的|能感受风的|豪华的|闪亮亮的|尖尖的|涩涩的	稻草人	到了夜间会开始活动。会找出并捉住那些因受不了沙漠炎热而精疲力竭的猎物。	1.3	77.4
57	0	三蜜蜂		ミツハニー	Combee	虫	飞行	乱撒	1111	111	008	明亮	能感受大自然的|能感受风的|木制的|群聚的|大家一起用的|甜甜的	幼蜂	从出生时起就是３只一起。为了取悦蜂女王，一直都在采集着花蜜。	0.3	5.5
58	0	蜂女王		ビークイン	Vespiquen	虫	飞行	采蜜|找东西	1111	111	011	明亮	能感受大自然的|能感受风的|木制的|群聚的|看起来很难懂的|甜甜的	蜂巢	躯体是孩子们的巢穴。释放出各种各样的费洛蒙，自由地控制孩子们。	1.2	38.5
59	0	无壳海兔	西海	カラナクシ	Shellos	水	水	滋润	1111	111	027	潮湿	能感受水的|能感受海的|整洁的|多彩的|容器|酸酸的	海兔	如果用力按住它，它就会分泌出神秘的紫色液体。虽然液体无害，不过黏糊糊的。	0.3	6.3
59	1	无壳海兔	东海	カラナクシ	Shellos	水	水	滋润	1111	111	027	潮湿	能感受水的|能感受海的|整洁的|多彩的|容器|涩涩的	海兔	经常能在岩岸发现它的身影。如果只是一定程度的时间，它也能在陆地上活动。	0.3	6.3
60	0	海兔兽	西海	トリトドン	Gastrodon	水	地面	滋润|交易	1111	111	185	潮湿	能感受水的|能感受土的|能感受海的|整洁的|容器|酸酸的	海兔	身体软瘫瘫的但十分强韧。因为它身体的软度可以帮助分散它所受到的冲击。	0.9	29.9
60	1	海兔兽	东海	トリトドン	Gastrodon	水	地面	滋润|交易	1111	111	185	潮湿	能感受水的|能感受土的|能感受海的|整洁的|容器|涩涩的	海兔	虽然平时都待在海岸，但如果雨下个不停，有时也会在离海很遥远的山里发现它的踪影。	0.9	29.9
61	0	飘飘球		フワンテ	Drifloon	幽灵	飞行	梦岛	1111	111	016|181|030	温暖	诡异的|奇妙的|能感受风的|可爱的|圆圆的|苦苦的	气球	漫无目的地浮在空中的样子，使它在某些民间故事里被相传为迷途灵魂的路标。	0.4	1.2
62	0	随风球		フワライド	Drifblim	幽灵	飞行	飞翔|分类	1111	111	181	温暖	诡异的|奇妙的|能感受风的|摇摇晃晃的|旋转的|苦苦的	热气球	会在体内制造或是吐出气体，以此来调节飞在空中的高度。	1.2	15.0
63	0	螺钉地鼠		モグリュー	Drilbur	地面	地面	找东西	1111	111	015	昏暗	能感受土的|石制的|能感受大自然的|用于观赏的|尖尖的|酸酸的	鼹鼠	将双掌上的爪子并拢，并让身体高速旋转的话，就会以迅猛的速度在地里前进。	0.3	8.5
64	0	龙头地鼠		ドリュウズ	Excadrill	地面	钢	找东西|伐木	1111	111	015	昏暗	能感受土的|金属的|训练用的|用于观赏的|尖尖的|酸酸的	地底	会用变成了钢的爪和头组成钻头，无论多厚的铁板都能贯穿。	0.7	40.4
65	0	搬运小匠		ドッコラー	Timburr	格斗	格斗	建造	1111	111	003	明亮	训练用的|建设|木制的|细长的|棱角分明的|辣辣的	筋骨	经常拿着方材走，帮忙做土木工程。长大后会换大的方材拿。	0.6	12.5
66	0	铁骨土人		ドテッコツ	Gurdurr	格斗	格斗	建造	1111	111	028|003	明亮	训练用的|建设|金属的|细长的|大家一起用的|辣辣的	筋骨	扛着工字钢锻炼身体。会和伙伴互相炫耀经过锻炼的肌肉。	1.2	40.0
67	0	修建老匠		ローブシン	Conkeldurr	格斗	格斗	建造|碾压	1111	111	177	明亮	训练用的|建设|石制的|细长的|大家一起用的|辣辣的	筋骨	制作混凝土的技术，被认为是２０００年前从修建老匠那儿学来的。	1.4	87.0
68	0	烛光灵		ヒトモシ	Litwick	幽灵	火	点火	1111	111	033|032	温暖	诡异的|奇妙的|能感受火的|摇摇晃晃的|棱角分明的|苦苦的	蜡烛	假装点亮烛光，指引道路，实际上是在吸取对方的生命力。	0.3	3.1
69	0	灯火幽灵		ランプラー	Lampent	幽灵	火	点火	1111	111	033|032	温暖	诡异的|奇妙的|能感受火的|摇摇晃晃的|容器|苦苦的	油灯	在人类的临终时刻出现。当人的魂魄离开肉体的瞬间，它就会立即吸取。	0.6	13.0
70	0	水晶灯火灵		シャンデラ	Chandelure	幽灵	火	点火	1111	111	033	温暖	诡异的|奇妙的|能感受火的|摇摇晃晃的|用于观赏的|涩涩的	引诱	被怪异的火焰燃烧过的灵魂无处可去，只能永远游荡在这个世界上。	1.0	34.3
71	0	牙牙		キバゴ	Axew	龙	龙	伐木	1111	111	029|044	昏暗	能感受火的|豪华的|能感受土的|坚硬的|尖尖的|甜甜的	牙	在地面上筑巢居住。用牙齿粉碎坚硬的树果，和伙伴比拼力气。	0.6	18.0
72	0	斧牙龙		オノンド	Fraxure	龙	龙	伐木	1111	111	029|044	昏暗	能感受火的|豪华的|能感受土的|训练用的|尖尖的|辣辣的	颚斧	会使用粗壮的牙齿利落地分解猎物，然后把当下要吃的份和存粮的份分开。	1.0	36.0
73	0	双斧战龙		オノノクス	Haxorus	龙	龙	伐木|乱撒	1111	111	029|044	昏暗	能感受火的|豪华的|能感受土的|训练用的|尖尖的|酸酸的	颚斧	坚固的大牙是它的骄傲。为了保持牙齿的强度，会舔泥土来补充矿物质。	1.8	105.5
74	0	黏黏宝		ヌメラ	Goomy	龙	龙	滋润	1111	001	041|009	潮湿	能感受水的|豪华的|能感受大自然的|整洁的|能治愈伤口的|甜甜的	软体生物	身体几乎都是水分。会用黏膜包裹全身，来避免随环境干燥而变干。	0.3	2.8
75	0	黏美儿		ヌメイル	Sliggoo	龙	龙	滋润	1111	001	004	潮湿	能感受水的|豪华的|柔软的|整洁的|能治愈伤口的|甜甜的	软体生物	背上漩涡状的突起物里装着它的大脑和心脏等所有重要的器官。	0.8	17.5
76	0	黏美龙		ヌメルゴン	Goodra	龙	龙	滋润|交易	1111	001	045	潮湿	能感受水的|豪华的|训练用的|整洁的|能治愈伤口的|酸酸的	龙	用伸长角产生的力道来攻击对手，产生的威力比重量级拳击手的拳击还强１００倍。	2.0	150.5
77	0	古月鸟		ウッウ	Cramorant	飞行	水	飞翔|滋润	1111	111	004	潮湿	能感受风的|能感受水的|能感受海的|细长的|很像食物的|苦苦的	一口吞	拥有将什么东西都一口吞下的习性。越是为喉咙卡住过大猎物而烦恼的古月鸟就越难对付。	0.8	18.0
78	0	皮丘		ピチュー	Pichu	电	电	发电	1111	111	020	明亮	电力驱动的|有玻璃的|可爱的|百花盛开|布制的|甜甜的	小鼠	脸颊上有电力袋。充满电时就会精神十足地四处玩耍。	0.3	2.0
79	0	皮卡丘	浅色	ピカチュウ	Pikachu	电	电	发光	1111	111	081	明亮	电力驱动的|有玻璃的|可爱的|能治愈伤口的|有文字的|甜甜的	鼠	不断将自己的电力分给病倒的伙伴，最终体质发生变化，再也无法发电了。	0.4	5.0
79	1	皮卡丘		ピカチュウ	Pikachu	电	电	发电	1111	111	020	明亮	电力驱动的|有玻璃的|大家一起用的|圆圆的|交通工具|酸酸的	鼠	越是能制造出强大电流的皮卡丘，脸颊上的囊就越柔软，同时也越有伸展性。	0.4	6.0
80	0	雷丘		ライチュウ	Raichu	电	电	发电|带动气氛	1111	111	176	明亮	电力驱动的|有玻璃的|大家一起用的|圆圆的|游乐区|酸酸的	鼠	尾巴会发挥接地线的作用把电导入地面，因此自己不会被电到。	0.8	30.0
81	0	超音蝠		ズバット	Zubat	毒	飞行	找东西	0001	111	051|066	昏暗	诡异的|能感受风的|木制的|会出声的|看起来很难懂的|辣辣的	蝙蝠	没有双眼。会从嘴里发出超音波在黑暗中飞来飞去。	0.8	7.5
82	0	大嘴蝠		ゴルバット	Golbat	毒	飞行	找东西	0001	111	051	昏暗	诡异的|能感受风的|木制的|会出声的|看起来很难懂的|辣辣的	蝙蝠	用小而灵活的脚走路。会悄悄接近正在睡觉的猎物，用尖牙咬住对方吸取血液。	1.6	55.0
83	0	叉字蝠		クロバット	Crobat	毒	飞行	找东西|伐木	0001	111	065|052	昏暗	诡异的|能感受风的|木制的|垃圾|用于观赏的|涩涩的	蝙蝠	会用增加到２对的翅膀在黑暗中静静飞行。就算它从身旁飞过也不会察觉。	1.8	75.0
84	0	喵喵		ニャース	Meowth	一般	一般	交易	1111	111	091|061	凉爽	容器|大家一起用的|闪亮亮的|有玻璃的|豪华的|辣辣的	妖怪猫	貌似一到晚上就精力充沛。喜欢又圆又亮的东西，发现了就一定要捡走。	0.4	4.2
85	0	猫老大		ペルシアン	Persian	一般	一般	交易|找东西	1111	111	179	凉爽	容器|大家一起用的|闪亮亮的|用于观赏的|豪华的|酸酸的	暹罗猫	额头上的宝石闪闪发亮！走路的姿态也十分优美，就像女王一样华丽高贵。	1.0	32.0
86	0	可达鸭		コダック	Psyduck	水	水	找东西	1111	111	078	潮湿	能感受水的|能感受海的|奇妙的|看起来很难懂的|能治愈伤口的|涩涩的	鸭	一直受到头痛的困扰。在头痛欲裂时，就会开始使用神奇的力量。	0.8	19.6
87	0	哥达鸭		ゴルダック	Golduck	水	水	找东西	1111	111	078	潮湿	能感受水的|能感受海的|奇妙的|看起来很难懂的|尖尖的|涩涩的	鸭	喜欢水流平稳的河川与湖泊。它游泳的姿态非常优雅。	1.7	76.6
88	0	卡蒂狗		ガーディ	Growlithe	火	火	点火|找东西	1111	111	079|062	温暖	能感受火的|石制的|能感受风的|有文字的|百花盛开|甜甜的	小狗	能毫无畏惧地去对抗比自己更强更大的对手。性格勇敢非常可靠。	0.7	19.0
89	0	风速狗		ウインディ	Arcanine	火	火	点火|找东西	1111	111	188|129	温暖	能感受火的|石制的|能感受风的|用于观赏的|象征的|辣辣的	传说	根据过去的画卷记载，它在草原上奔驰的姿态俘虏了众多人心。	1.9	155.0
90	0	大葱鸭		カモネギ	Farfetch'd	一般	飞行	伐木|建造	1111	111	080	温暖	柔软的|能感受风的|木制的|细长的|训练用的|辣辣的	黄嘴鸭	走路的同时，手上会一直拿着１根用来给自己筑巢的植物茎。	0.8	15.0
91	0	臭泥		ベトベター	Grimer	毒	毒	乱撒	1111	111	186	昏暗	垃圾|诡异的|群聚的|闪亮亮的|容器|苦苦的	污泥	由污泥变成的宝可梦。会聚集在肮脏的地方来繁殖身体的细菌。	0.9	30.0
92	0	臭臭泥		ベトベトン	Muk	毒	毒	乱撒	1111	111	186	昏暗	垃圾|诡异的|群聚的|闪亮亮的|多彩的|苦苦的	污泥	非常难闻！气味臭到让人窒息，但由于鼻子的退化，它自己完全闻不到味道。	1.2	30.0
93	0	鬼斯		ゴース	Gastly	幽灵	毒	分类|交易	0001	111	089	昏暗	诡异的|奇妙的|垃圾|容器|大家一起用的|辣辣的	气体状	它似乎会在没人居住的旧屋子里出现。形状不清，仿佛就像是气体一样。	1.3	0.1
94	0	鬼斯通		ゴースト	Haunter	幽灵	毒	分类|交易	0001	111	073|089	昏暗	诡异的|奇妙的|垃圾|摇摇晃晃的|大家一起用的|辣辣的	气体状	如果黑暗中空空如也，但你却感觉被什么盯上了，那么鬼斯通一定就在那里。	1.6	0.1
95	0	耿鬼		ゲンガー	Gengar	幽灵	毒	分类|交易	0001	111	073	昏暗	诡异的|奇妙的|垃圾|交通工具|大家一起用的|甜甜的	影子	如果你突然感到寒气逼近，就说明耿鬼在你身边，或许它已经在你身上下了诅咒。	1.5	40.5
96	0	霹雳电球		ビリリダマ	Voltorb	电	电	发电|爆炸	1111	111	090|066	明亮	电力驱动的|闪亮亮的|圆圆的|多彩的|旋转的|苦苦的	球	据说它与精灵球相似的外形其实是它的保护色，但它很容易自爆这一点也出人意料。	0.5	10.4
97	0	顽皮雷弹		マルマイン	Electrode	电	电	发电|爆炸	1111	111	090|066	明亮	电力驱动的|闪亮亮的|圆圆的|游乐区|旋转的|酸酸的	球	因为体内储存着多到快要溢出的电能，所以稍微受点刺激便会爆炸。	1.2	66.6
98	0	蛋蛋		タマタマ	Exeggcute	草	超能力	栽培|瞬间移动	1111	111	059|057	明亮	能感受大自然的|奇妙的|群聚的|用于观赏的|大家一起用的|辣辣的	蛋	因为会互相发出仅能在蛋蛋之间传递的心灵感应，所以无论何时都能集齐６只。	0.4	2.5
99	0	椰蛋树		ナッシー	Exeggutor	草	超能力	栽培|瞬间移动	1111	111	059|057	明亮	能感受大自然的|奇妙的|群聚的|用于观赏的|木制的|涩涩的	椰子	３个脑袋分别在想不同的事。似乎对自己以外的事物没有什么兴趣。	2.0	120.0
100	0	小福蛋		ピンプク	Happiny	一般	一般	交易	1111	111	091|082	明亮	柔软的|布制的|能治愈伤口的|圆圆的|容器|甜甜的	家家酒	深信白白圆圆的石头是蛋，很小心翼翼地拿着。很在意自己卷毛的形状。	0.6	24.4
