编号	哈希值	中文名	日文名	英文名	图标	分类	标签	获得方式	交易价值	喜欢的类别
74	b0890cb71ca54d78b0999858f8d6d5e7	玻璃	ガラス	Glass	74	材料			50	有玻璃的
75	24b33e983b4a78e5fef46c8c0774cd30	混凝土	コンクリート	Concrete	75	材料			50	
76	d17f43870dc55e9b232439ad2f65571f	纸	かみ	Paper	76	材料				
77	024f960480742209db7fcc32a475e498	巨锻齿轮	デカヌギア	Tinkagear	77	材料			500	
78	aa54946abf66a8654b695288d43a50c1	神奇琴弦	ふしぎなげん	Strange strings	78	材料			500	
79	5759b3fb8270ce988fb71aacd5fb75d9	铠甲碎片	ヨロイのはへん	Armor fragment	79	材料			500	诡异的
80	92a4557e305448d2a9b9479cd9d1f60e	星星沙子	ほしのすな	Stardust	80	材料			10	闪亮亮的
81	ff0bf9aff400e8d070dcfecc81d812d1	颜料（红）	えのぐ・あか	Red paint	81	材料			50	多彩的|能感受土的
82	2ec0fe622843eb73ac58abeb9ad38e3a	颜料（蓝）	えのぐ・あお	Blue paint	82	材料			50	多彩的|能感受土的
83	45f076f1d3db40a9a07e66c0c73fc5d9	颜料（绿）	えのぐ・みどり	Green paint	83	材料			50	多彩的|能感受土的
84	6e2c68029bb30c8d8295f807b111e559	颜料（黄）	えのぐ・きいろ	Yellow paint	84	材料			50	多彩的|能感受土的
85	bd03c20ba32f1cde942a72de53aa0817	颜料（粉桃）	えのぐ・ももいろ	Pink paint	85	材料			50	多彩的|能感受土的
86	9a63325af566167b19c6e07b5e7c90b2	颜料（浅蓝）	えのぐ・みずいろ	Cyan paint	86	材料			50	多彩的|能感受土的
87	2ea8bde1e8e4502618de2a0c57f8e597	颜料（白）	えのぐ・しろ	White paint	87	材料			50	多彩的|能感受土的
88	cea469440d8d17db67cdbf01205c1a1c	颜料（黑）	えのぐ・くろ	Black paint	88	材料			50	多彩的|能感受土的
89	0b3f8e50a506a85f46d6b2bbae96d540	苹野种子	ヒメリのタネ	Leppa Seeds	89	自然			10	
90	2874e33b66c47b46bcadc531b1167f34	零余种子	カゴのタネ	Chesto Seeds	90	自然			50	
91	00184428fa6c3f28652d58de1ea5474d	莓莓种子	チーゴのタネ	Rawst seeds	91	自然			50	
92	e1b5e72a6d650acdf57bf346c3445e23	利木种子	ナナシのタネ	Aspear Seeds	92	自然			50	
93	4e50b93df9c3f80b1bc8a2c7fef0ceae	桃桃种子	モモンのタネ	Pecha Seeds	93	自然			50	
94	9e2746a29de068b187fd37683bec5ce9	木子种子	ラムのタネ	Lum seeds	94	自然			50	
95	b6a48f2c35d285dc910b08e07e2faa68	椰子树的种子	ヤシの木のタネ	Palm seeds	95	自然			50	
96	3f655aef9fb94beb7c9fa558cfc8cc43	三角树的种子	さんかくの木のタネ	Pointy-tree seeds	96	自然			50	
97	f0f8ae2e0a127f27026db13be104c048	草地的花的种子	はらっぱのはなのタネ	Wildflower seeds	97	自然			50	
98	91dc6dc083afe8134f362fbb873159f7	海边的花的种子	うみべのはなのタネ	Seashore-flower seeds	98	自然			50	
99	42482d1c14b32f66338872076601f7c1	岩地的花的种子	いわばのはなのタネ	Mountain-flower seeds	99	自然			50	
100	11714d3c8219d369c2ef85d72044c7d3	空岛的花的种子	うきしまのはなのタネ	Skyland-flower seeds	100	自然			50	
101	280f633bddd0826dbf4b3cf7be387c27	美丽的花的种子	うつくしいはなのタネ	Beautiful-flower seeds	101	自然			50	
102	a7cdc987f39475128813cad4264915bf	可爱的花的种子	キュートなはなのタネ	Cute-flower seeds	102	自然			50	
103	f163b5eea6cf68a7dab6ef201bf4f885	优雅的花的种子	エレガントなはなのタネ	Elegant-flower seeds	103	自然			50	
104	dcd78e5787bc4fcc7d2e76752296164d	坚韧的花的种子	たくましいはなのタネ	Robust-flower seeds	104	自然			50	
105	4c4bd10368c47fe11fe49025eab1766d	可爱花篱的种子	かわいいいけがきのタネ	Adorable-hedge seeds	105	自然			50	
106	134fa7a54d4deb0774521d83f83133ac	活力花篱的种子	げんきないけがきのタネ	Healthy-hedge seeds	106	自然			50	
107	acdab0c33f374990d3f52edea02a6fee	水润花篱的种子	しっとりいけがきのタネ	Damp-hedge seeds	107	自然			50	
108	858f12f9bd45cb69a73f017110d0054a	精致花篱的种子	しゃれたいけがきのタネ	Stylish-hedge seeds	108	自然			50	
109	9c2c9266fdfe436a00142633baad4c46	方形植栽的种子	しかくいうえ木のタネ	Square-plant seeds	109	自然			50	
110	0c868a8725f21443847e62caa04572e7	豆子的种子	マメのタネ	Bean seeds	110	自然			50	
111	798ba60565cd3baef903e8980ae1d7ab	番茄的种子	トマトのタネ	Tomato seeds	111	自然			50	
112	cddb7dd20a2c1c6c8abd707becb231a9	小麦的种子	コムギのタネ	Wheat seeds	112	自然			50	
113	9ed0c359fa50d6ee9e9d557e5ca80e51	马铃薯的种子	ジャガイモのタネ	Potato seeds	113	自然			50	
114	60839cc6e1e083a5e3c13f540748a3b0	绿色草	みどりのくさ	Tall grass	114	自然			10	
115	c94c7f08dbe84ebb97cd01a9dcc99a76	黄色草	きいろのくさ	Yellow tall grass	115	自然			10	
116	c38c2b579c357fc32090415e889635b0	红色草	あかいくさ	Red tall grass	116	自然			10	
117	9c9b52839ec209feb8964231da273dae	粉红色草	ピンクのくさ	Pink tall grass	117	自然			10	
118	a5e0382940929ca405e156c5dc24be59	绿色嫩草	みどりのわかくさ	Green shoots	118	自然			10	
119	0fc0e9f429ee11593eb815a100fd3391	浅绿色嫩草	きみどりのわかくさ	Yellow-green shoots	119	自然			10	
120	e9616577a3e9a0d63dd946359a137564	深绿色嫩草	ふかみどりのわかくさ	Verdant shoots	120	自然			10	
121	7e97fd7f3899efc33754df1e953d46c1	蓝绿色嫩草	あおみどりのわかくさ	Blue-green shoots	121	自然			10	
122	74207e36215bc6d2ae8db2f5fb20bbb8	浮萍	うきくさ	Duckweed	122	自然			10	
123	469e710d7da01aa82cb5802576615e27	浮萍的花	うきくさのはな	Flowering Duckweed	123	自然			100	
124	f6d11310a92070f35bf8f9cf2eb07f8f	缠绕蔓藤	ぐるぐるツタ	Dense vines	124	自然			10	
125	de5eb352b59d0a24bc2bc40715a8746c	苔藓	コケ	Moss	125	自然			10	
126	75d66feafc1f80ea721f960fd075cee3	蕨类	シダ	Fern	126	自然			10	
127	41f0149c0c95735708e47dfeafc24100	苹野树	ヒメリの木	Leppa tree	127	自然			100	
128	4042071aa8de80d69a7c35b0cae26342	大椰子树	おおきなヤシの木	Large palm tree	128	自然			100	
129	f6a4720aacb954e572e037f90dc2a93a	三角树	さんかくの木	Pointy tree	129	自然			100	
130	e71c67357c26055734e19411d14a65e8	草地的花	はらっぱのはな	Wildflowers	130	自然			100	百花盛开的
131	c0b3e6dcfd9de5c41b2d8ee6eb1feb80	海边的花	うみべのはな	Seashore flowers	131	自然			100	百花盛开的
132	eea801e62b9d70ab96ef98916119fa5e	岩地的花	いわばのはな	Mountain flowers	132	自然			100	百花盛开的
133	24d0f8e8d4a3a516a3c9751cfc6efb40	空岛的花	うきしまのはな	Skyland flowers	133	自然			100	百花盛开的
134	d6a65a356bf9a1cd4d905befe44b0e02	美丽的花	うつくしいはな	Beautiful flower	134	自然			100	百花盛开的
135	0fdd2130b7a2809440c365fecbf82ff0	可爱的花	キュートなはな	Cute flower	135	自然			100	可爱的|百花盛开的
136	6839e105e07cdd47a7f1ed0360abe7ca	优雅的花	エレガントなはな	Elegant flower	136	自然			100	百花盛开的
137	c464daf437fa48f266b87d6b6a31739a	坚韧的花	たくましいはな	Robust flower	137	自然			100	百花盛开的
138	c58abfcd696ade699c6b7e2b0ee8c4e4	可爱花篱	かわいいいけがき	Adorable hedge	138	自然			30	
139	0a2f4e30fc72389e0c994789eb2f0fea	活力花篱	げんきないけがき	Healthy hedge	139	自然			30	
140	8a80930e62eb53fe803de577c58502f5	水润花篱	しっとりいけがき	Damp hedge	140	自然			30	
141	50461ec9d5d4128fcb47f67a6d842be2	精致花篱	しゃれたいけがき	Stylish hedge	141	自然			30	
142	3ca589d51dcf06e7e7c2707014e8f9ea	方形植栽	しかくいうえ木	Square plant	142	自然			30	
143	b5788ec7103ae0d306243cb90dfec605	苹野树的树桩	ヒメリの木のきりかぶ	Leppa tree stump	143	自然			10	
144	49374bc9d74eaca6620a470a25a04a87	椰子树的树桩	ヤシのきりかぶ	Palm tree stump	144	自然			10	
145	aa61c333b155372d48ef0148567054c8	三角树的树桩	さんかくの木のきりかぶ	Pointy tree stump	145	自然			10	
146	aeaf2d35504c87772f89e0e364187e9d	漂流木	りゅうぼく	Driftwood	146	自然			10	
147	00ab64b324b2bb33c67364ebe018af2e	黏黏丝	ペタペタいと	Sticky web	147	自然			10	
148	d64b9e13f7845b6a1891ae036164efb2	大石头	おおきないし	Large boulder	148	自然			10	
149	e072351bbbb67775bbf2c2611a4c7626	台岩	こけいわ	Mossy boulder	149	自然			10	
150	f07337747ea99c36f854fc21c4bfa496	热热岩	アツアツいわ	Molten rock	150	自然			10	
151	140a24b1a2a18bd614298d02d265e80a	冷却的热热岩	ひえたアツアツいわ	Cooled molten rock	151	自然			10	
152	ffb463d0b8924ffe4a4e5de477aba9b9	笋岩	たけのこいわ	Stalagmites	152	自然			10	
153	ab26305239ef5c03b0d438f7abc3ec1f	冰柱岩	つららいわ	Stalactites	153	自然			10	
154	ee84e82ad24e43b8b33e2b33cf52aad1	冰柱	つらら	Icicle	154	自然			10	
155	184373cd7cd916c55ecb599e996edc9e	水晶	クリスタル	Crystal cluster	155	自然			100	
156	e9ecaa8035b059993759a0330a615cfb	怪力岩	かいりきいわ	Strength rock	156	自然			10	坚硬的
157	11db6ede0fab700a29d5d208b510d1c9	叶子小窝套组	はっぱのいえキット	Leaf den kit	157	套组			10	
158	d601dc182afa7ba015d0a8258bc1242c	叶子小屋套组	はっぱのこやキット	Leaf hut kit	158	套组			10	
159	99d1a9cb33adfce6016ac7adcc4c05c4	叶子小家套组	はっぱのおへやキット	Leaf cottage kit	159	套组			10	
160	c5550d9b1f80b72914014e2a9a45aea9	叶子的气派套组	はっぱのりっぱなキット	Leaf house kit	160	套组			10	
161	fa4097275d55083c8fc82ad76ab2437f	沙子小窝套组	すなのおへやキット	Sand den kit	161	套组			10	
162	93b1c0a5d379d28185178662b9f42f3a	沙子小屋套组	すなのこやキット	Sand hut kit	162	套组			10	
163	2153f938bf5b10fe503505eba857c11d	沙子小家套组	すなのいえキット	Sand cottage kit	163	套组			10	
164	b3982c14b760e71332d2fe7b1e6de9f3	沙子的气派套组	すなのりっぱなキット	Sand house kit	164	套组			10	
165	a3dc20cf8a0fc0512de1404fee5337d5	石头小窝套组	いしのこやキット	Stone den kit	165	套组			10	
166	ee19332e43276997b51cdb62fafc9ab6	石头小屋套组	いしのいえキット	Stone hut kit	166	套组			10	
167	d6c595e49654b6630c796ef0f66fd733	石头小家套组	いしのおへやキット	Stone cottage kit	167	套组			10	
168	9dc0843b533f25bb079d394860b21462	石头的气派套组	いしのりっぱなキット	Stone house kit	168	套组			10	
169	dcc92cdf832179826cb0344a192c8285	都会小窝套组	とかいのこやキット	City den kit	169	套组			10	
170	802a43b21a637ce9ae54f37d915c4e41	都会小屋套组	とかいのいえキット	City hut kit	170	套组			10	
171	26ba89e2bf250cd3f8cbe884f38189f9	都会小家套组	とかいのおへやキット	City cottage kit	171	套组			10	
172	fb2d3f6625ed142b6feb60327c589c0f	都会的气派套组	とかいのりっぱなキット	City house kit	172	套组			10	
173	e9467eb4aa686a1c699346b1768f07f1	精灵球小屋套组	ボールのいえキット	Poké Ball house kit	173	套组			10	
174	69890274018bc59b262fa957fea8f1ed	友好商店套组	フレンドリィショップキット	Poké Mart kit	174	套组			10	
175	37a7be1aaaca8196de0d0643dbcbaf83	荒野的宝可梦中心套组	こうやのポケセンキット	Wasteland Pokémon Center kit	175	套组			10	
176	a4f7927ee02b9458bda606bb6eaf9a0b	海边的宝可梦中心套组	うみべのポケセンキット	Beach Pokémon Center kit	176	套组			10	
177	9b2b37e3646e372261bdd10bcf1496f8	山地的宝可梦中心套组	やまのポケセンキット	Ridge Pokémon Center kit	177	套组			10	
178	87c22b6505981a2abd44fb2477be1fdc	空岛的宝可梦中心套组	うきしまのポケセンキット	Skyland Pokémon Center kit	178	套组			10	
179	5f65d8be1aac534d8210d7bcc399ba1e	风力发电套组	風力はつでんキット	Windmill kit	179	套组			10	
180	2556609f30a2dbe6f990da3d3d89c512	水力发电套组	水力はつでんキット	Waterwheel kit	180	套组			10	
181	ab78ea80c3c4f3d97def32ed6fc66197	火力发电套组	火力はつでんキット	Furnace kit	181	套组			10	
182	9efd91d6b0f8640e2b447f8a771337b4	充电站套组	じゅうでんスポットキット	Charging station kit	182	套组			10	
183	49541874b8b851409af8e51304097c64	皮卡丘喷泉套组	ピカチュウふんすいキット	Pikachu fountain kit	183	套组			10	
184	3ab53d3eb4575db30857453e1744b09a	月夜起舞像套组	つきよのダンスぞうキット	Moonlight dance statue kit	184	套组			10	
185	8436e3f4b130fbaf008b1d7138e6ea67	粉红色小屋套组	ピンクのこやキット	Pink hut kit	185	套组			10	
186	8d9b1ef35a8f63cd9d7484028d3c4f76	粉红色小家套组	ピンクのいえキット	Pink cottage kit	186	套组			10	
187	4c4f20af61e6c6a50038bb3105192ece	橙色小屋套组	オレンジのこやキット	Orange hut kit	187	套组			10	
188	8e2deca52efa67c769fd1f2373c8a1e1	橙色小家套组	オレンジのいえキット	Orange cottage kit	188	套组			10	
189	70481331e1904b6f454cbe0beadaf164	灰色小屋套组	グレーのこやキット	Gray hut kit	189	套组			10	
190	e71adebee36edfc9b87e43199a7302f4	灰色小家套组	グレーのいえキット	Gray cottage kit	190	套组			10	
191	ba326fffa916ff5ae9a8997025c1642d	黄色小屋套组	きいろいこやキット	Yellow hut kit	191	套组			10	
192	f02b736e8d70f17e1edf326c9c6d4bce	黄色小家套组	きいろいいえキット	Yellow cottage kit	192	套组			10	
193	6efcc10e43d14384a0d2df582d174861	木屋套组	ログハウスキット	Log cabin kit	193	套组			10	
194	ea0a9b8f6214e3c5a2ff9150679c6e5a	小办公室套组	ちいさなオフィスキット	Small office kit	194	套组			10	
195	b94e2e019525aa64420b6a09c4dad5c5	疗愈公园套组	いやしのこうえんキット	Relaxing park kit	195	套组			10	
196	4fecbd8444d7df14fcfa3fded1d6c1cd	时髦咖啡馆套组	おしゃれなカフェキット	Stylish Café kit	196	套组			10	
197	b0c04c7407d8a429c848d5f3db4f4e8c	演出舞台套组	ライブステージキット	Concert stage kit	197	套组			10	
198	7d207c60e32a8bfe871d75ed7e5a5eb9	喷泉广场套组	ふんすいひろばキット	Fountain plaza kit	198	套组			10	
199	b36926b609043fe3fcb91c349df6d4d0	火光祭坛套组	ともしびのさいだんキット	Altar of Flame kit	199	套组			10	
200	a42c5026ce23cd5fa0b8f0fc1222dccb	无人发电厂套组	むじんはつでんしょキット	Abandoned Power Plant kit	200	套组			10	
201	722b72b2582045a8093838b8a30ebaf5	双子冰窖套组	ふたごのひむろキット	Freezing Chambers kit	201	套组			10	
202	17f8e37d4fc02e8bdcd752308508e078	搬迁套组（准备）	ひっこしキット・じゅんび	Relocation kit (prepare)	202	套组			10	
203	018ffdce4509c7805f7661140ae02115	拆除套组	かいたいキット	Demolition kit	203	套组			10	
204	1815701fff361e07a01f279889f0287b	收纳箱	しゅうのうボックス	Storage box	204	家具			50	木制的
205	e1c47564b15c5cb326a0ed126551c11f	壁挂收纳箱	カベしゅうのうボックス	Wall storage box	205	家具	装饰		300	棱角分明的|容器|木制的
206	434cc290a6af4aabbfdac068caa4fa1d	大收纳箱	ビッグしゅうのうボックス	Big storage box	206	家具			300	木制的
207	05abd8ee849b1d9405a705312185b177	自然风储物柜	ナチュラルなチェスト	Plain chest	207	家具	装饰		200	棱角分明的|容器|布制的|木制的
208	1e3f71a518bc3137b594aee211a71fa5	办公室收纳柜	オフィスのキャビネット	Office cabinet	208	家具	装饰		200	棱角分明的|容器|金属的|木制的
209	3e75711a9f140020d43920305bb2bbc5	电竞冰箱	ゲーミングれいぞうこ	Gaming fridge	209	家具	装饰		400	多彩的|容器|电力驱动的|有玻璃的|金属的
210	0f944346b349579373a4e9f71516ca79	精灵球储物柜	モンスターボールチェスト	Poké Ball Chest	210	家具	装饰		400	容器|可爱的|金属的|圆圆的|闪亮亮的
211	2031cb99a4f81da988cdd2be0c81d106	树果造型盒	きのみなケース	Berry case	211	家具	装饰		300	容器|可爱的|很像食物的|能感受自然的
212	9068d9364b9cabd0fcd53f216dda5a92	古董储物柜	アンティークチェスト	Antique chest	212	家具	装饰		200	棱角分明的|容器|豪华的|木制的
213	35278c59b4c63c9b6ad446f26a26cf94	自然风衣柜	ナチュラルなクローゼット	Plain closet	213	家具	装饰		200	棱角分明的|容器|布制的|木制的
214	ab2ea20f0803db0a08f43a2e02d82367	办公室储物柜	オフィスのロッカー	Office locker	214	家具	装饰		200	棱角分明的|容器|金属的
215	4aec586411b6ecf8ab7664877d797808	古董衣柜	アンティーククローゼット	Antique closet	215	家具	装饰		200	棱角分明的|容器|豪华的|木制的
216	5209726e598006c38f6e765a6a24bb98	办公室架子	オフィスのたな	Office shelf	216	家具	装饰		200	棱角分明的|容器|群聚的|有玻璃的|有文字的|金属的
217	ab57aa6445c84cb237cf877997c83ee2	棱棱角角柜	かくばりたな	Polygonal Shelf	217	其他	装饰		1000	容器|可爱的|诡异的
218	0714ca997d7d2e79bdef90abaa50597c	干草桌子	ほしくさのテーブル	Straw table	218	家具			100	能感受自然的
219	10047fd8f485e14b5daa05086cf55350	圆木桌	まるたのテーブル	Log table	219	家具			100	能感受自然的|木制的
220	544b978fcb9b8b5d603249e42d782b84	边桌	サイドテーブル	Side table	220	家具			100	
221	db782a36c2fcef8aa7c37e82a09356ff	庭园桌子	ガーデンテーブル	Garden table	221	家具			300	能感受自然的
222	90cc75bae3793b8a29b728c107829d96	木桌子	木のテーブル	Wooden table	222	家具			100	
223	998a0337ca6168c65dabb196d5e9a4a1	柜台面	カウンターのだい	Counter	223	家具			10	
224	334df09d75e22334faaf5ad4159f132c	壁桌	カベつけテーブル	Wall-mounted table	224	家具			200	
225	09191d4f28e42aff4a83228df97f57d1	宝可梦中心的柜台	ポケセンのカウンター	Pokémon Center counter	225	家具			100	
226	6f32f3f5fc2ce1ed5ed521e3a16e230a	厨房桌子	キッチンテーブル	Kitchen table	226	家具			300	
227	01b103148518154bd62b2af80e3ac06f	推车	ワゴン	Push cart	227	家具			300	
228	b29a82131061eae986aab4e2a49ce2ca	展示台	てんじだい	Exhibition stand	228	家具			50	
229	cc6b821ed3e24488350e7948ec8ac63a	谜之台座	なぞのだいざ	Mysterious pedestal	229	其他			1000	
230	8b5f796f0db6d0aa83ac49063708c48b	自然风矮柜	ナチュラルなだい	Plain stand	230	家具	装饰		200	棱角分明的|容器|布制的|木制的
231	95c2822173a545c2f570f0b00b17cf0e	铁矮柜	てつのだい	Iron stand	231	家具	装饰		200	棱角分明的|容器|坚硬的|金属的|闪亮亮的
232	99fb33fac1994a19754f59c71814af05	供餐柜台	フードカウンター	Food counter	232	家具	装饰		200	木制的
233	641086b65d578b062bc1978b5a6a4c02	自然风桌子	ナチュラルなテーブル	Plain table	233	家具			200	木制的
234	bbb20a248574048de466115b49f38f4b	古董桌子	アンティークテーブル	Antique table	234	家具			200	豪华的|木制的
